accountno, parcelnb, saledt, locationaddress, locationcity, locationzipcode, subdivisionid, subdivisiondescr, nbhd, occdescr, bltasoccdesc, bltasid, residentialsf, bsmntsf, bsmntfinsf, garagesf, grossacres, yrblt, salep, value
"R1628474","8832230005","2021-07-06","2250 THOREAU DR","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Split Level","7","1627","376","248","649",".12000000","2013","450000.00","356100.00"
"R1669138","9711146211","2021-07-06","302 N MELDRUM ST 211","FORT COLLINS","80521","8415000000","MYRIDIUM CONDOS","19711","Condo unit","Condo &gt; 3 Stories","20","1156","","","",".00000000","2017","632000.00","524500.00"
"R1604494","8607431122","2021-07-05","1745 FOSSIL CREEK PKWY","FORT COLLINS","80528","8027","LINDEN PARK PDP","19613","Single Family Residential","2 Story","8","2226","1096","","380",".11000000","2003","491900.00","421800.00"
"R1636223","8720226013","2021-07-05","2020 SCARECROW RD","FORT COLLINS","80525","80942","SIDEHILL 2ND FTC (20050067435)","18933","Single Family Residential","Ranch","1","1774","1774","","484",".12000000","2014","560500.00","462900.00"
"R0778796","8719405189","2021-07-05","2119 EASTWOOD DR","FORT COLLINS","80525","1338","PARKWOOD EAST","19724","Single Family Residential","Ranch","1","1520","","","462",".22000000","1986","509600.00","385200.00"
"R0762245","9735416009","2021-07-02","4330 HUMMINGBIRD DR","FORT COLLINS","80526","1319","LARKBOROUGH","19734","Single Family Residential","Ranch","1","1288","","","420",".17000000","1980","300000.00","329800.00"
"R1007220","8719318021","2021-07-02","1315 KIRKWOOD DR 905","FORT COLLINS","80525","1357","PARKWOOD GARDENS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","960","","","",".00000000","1970","240000.00","202000.00"
"R1007165","8719318015","2021-07-02","1315 KIRKWOOD DR 807","FORT COLLINS","80525","1357","PARKWOOD GARDENS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","761","","","",".00000000","1970","195000.00","177500.00"
"R1238264","9624109053","2021-07-02","632 RUBY DR","FORT COLLINS","80525","03443","COLLAND CENTER","19613","Single Family Residential","2 Story","8","1754","960","960","484",".30000000","1993","573000.00","389300.00"
"R1098063","8719218008","2021-07-02","1440 EDORA RD 8","FORT COLLINS","80525","131601","EDORA ACRES PUD","19724","Townhouse","Townhouse Two Story","68","1056","","","",".02000000","1984","280000.00","230800.00"
"R1441159","9612422017","2021-07-02","1018 HUNTINGTON HILLS DR","FORT COLLINS","80525","14314","HUNTINGTON HILLS PUD","19613","Single Family Residential","2 Story","8","2813","1857","1857","712",".35000000","2000","807000.00","655900.00"
"R1394614","9725285033","2021-07-02","2700 STANFORD RD L33","FORT COLLINS","80525","15485","SCOTCH HIGHLANDS CONDOS","19724","Townhouse/Condo","Townhouse One Story","61","1282","1270","600","496",".00000000","1993","370000.00","344100.00"
"R1383035","8732311023","2021-07-02","2118 THUNDERSTONE CT","FORT COLLINS","80525","16168","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","1389","708","708","440",".15000000","1994","515000.00","398000.00"
"R1571044","8606485007","2021-07-02","5225 WHITE WILLOW DR P220","FORT COLLINS","80528","19444","BROOKSIDE AT WILLOW SPRINGS CONDOS","19613","Condo unit","Condo &lt;= 3 Stories","19","977","","","200",".00000000","1999","305777.00","255300.00"
"R0171123","9716307005","2021-07-02","1518 CEDARWOOD DR","FORT COLLINS","80521","11251","CEDARWOOD","19715","Single Family Residential","Ranch","1","850","850","850","484",".15000000","1976","435000.00","331100.00"
"R1632619","8704311029","2021-07-02","1032 TRADING POST RD","FORT COLLINS","80524","8132","TRAIL HEAD FTC  (20040123495)","18933","Single Family Residential","Ranch","1","1674","820","","480",".16000000","2011","415000.00","383800.00"
"R1631378","8729267112","2021-07-02","2851 KANSAS DR C","FORT COLLINS","80525","19977","RIGDEN FARM, 7TH FILING, THE WILLOW","18729","Townhouse","Townhouse Two Story","68","1300","","","508",".03000000","2004","345000.00","295300.00"
"R1646019","8707118016","2021-07-02","309 BANNOCK ST","FORT COLLINS","80524","1942001001","DRY CREEK MINOR SUB, 1ST RPLT, FTC (20070083115)","18933","Single Family Residential","2 Story","8","1618","","","560",".09000000","2011","425000.00","350400.00"
"R1651707","8609116026","2021-07-02","5821 BIG CANYON DR","FORT COLLINS","80528","0637008000","MCCLELLANDS CREEK 3RD FIL (Fossil Lake PUD 8th Sub Number)","19613","Single Family Residential","2 Story","8","3089","1428","1050","786",".22000000","2014","820500.00","725400.00"
"R1628297","8832223003","2021-07-02","2462 MILTON LN","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","2 Story","8","2074","1132","","400",".11000000","2009","463000.00","395400.00"
"R1599271","8605465020","2021-07-02","5351 COUNTRY SQUIRE WAY","FORT COLLINS","80528","8014","HARVEST PARK","18729","Single Family Residential","2 Story","8","2911","731","","467",".17000000","2005","730000.00","524700.00"
"R1600705","8605489006","2021-07-02","5409 RABBIT CREEK RD","FORT COLLINS","80528","8017","SAGE CREEK SUBDIVISION","18729","Single Family Residential","2 Story","8","2033","984","984","682",".19000000","2003","596200.00","492400.00"
"R1658771","8729238104","2021-07-02","2521 DES MOINES DR 104","FORT COLLINS","80525","8068015000","LAGRANGE CONDOS AT RIGDEN FARM  PH 15, FTC (20150050737)","18729","Townhouse/Condo","Townhouse Two Story","68","1301","546","","361",".00000000","2015","446500.00","337400.00"
"R1669148","9711146309","2021-07-01","302 N MELDRUM ST 309","FORT COLLINS","80521","8415000000","MYRIDIUM CONDOS","19711","Condo unit","Condo &gt; 3 Stories","20","1271","","","",".00000000","2017","715000.00","566600.00"
"R1609555","8604407118","2021-07-01","3651 BIG DIPPER DR","FORT COLLINS","80528","8040","WILLOW BROOK","18729","Single Family Residential","Ranch","1","1672","1154","","462",".12000000","2005","575000.00","440000.00"
"R1616005","8604109015","2021-07-01","3815 PRECISION DR C","FORT COLLINS","80528","8050","BROOKFIELD","18729","Townhouse","Townhouse Two Story","68","1557","776","","360",".05000000","2012","422000.00","367300.00"
"R1601836","9911407004","2021-07-01","208 W COUNTY ROAD 70","FORT COLLINS","80524","7155100","DIAMOND FARMS RLUP 00-S1551","41626","Single Family Residential","Modular","21","1596","","","","2.20000000","2001","460000.00","350000.00"
"R1601836","9911407004","2021-07-01","208 W COUNTY ROAD 70","FORT COLLINS","80524","7155100","DIAMOND FARMS RLUP 00-S1551","","Farm Utility Building","Farm Utility Building","404","1080","","","","2.20000000","2007","460000.00","350000.00"
"R1636782","9709118043","2021-07-01","2268 BELLWETHER LN","FORT COLLINS","80521","8154","BELLWETHER FARM FTC (20050079725)","19715","Single Family Residential","2 Story","8","2321","1067","1067","418",".11000000","2008","675000.00","568200.00"
"R0658391","8730307204","2021-07-01","3131 SILVERWOOD DR","FORT COLLINS","80525","11773","SOUTHMOOR VILLAGE EAST","19724","Single Family Residential","Split Level","7","2432","644","564","624",".21000000","1979","600000.00","490900.00"
"R0716332","8730210101","2021-07-01","2907 EASTBOROUGH DR","FORT COLLINS","80525","1267","EASTBOROUGH","19724","Single Family Residential","Bi Level 2 Story","4","2116","","","400",".21000000","1980","475000.00","387900.00"
"R0075221","9715115002","2021-07-01","626 MILLER DR","FORT COLLINS","80521","1088","JOHNSON C.W.","19715","Single Family Residential","Ranch","1","1064","588","588","308",".14000000","1963","320000.00","345200.00"
"R0061662","9713333018","2021-07-01","1511 PETERSON ST","FORT COLLINS","80524","11312","MOORE`S L C","19711","Single Family Residential","Ranch","1","832","832","273","440",".20000000","1928","450000.00","400200.00"
"R0131911","9726106024","2021-07-01","408 FLICKER DR","FORT COLLINS","80526","1175","SOUTH MEADOWLARK HEIGHTS","19722","Single Family Residential","Ranch","1","1253","1120","1120","480",".21000000","1967","460000.00","385100.00"
"R0029637","9711229013","2021-07-01","617 CHERRY ST","FORT COLLINS","80521","1349","COTTON`S RESUB","19711","Single Family Residential","Ranch","1","1059","","","400",".17000000","1920","520000.00","514100.00"
"R0201812","9610405012","2021-07-01","6605 THOMPSON DR","FORT COLLINS","80526","0194","MOUNTAIN VALLEY ACRES","19614","Single Family Residential","Split Level","7","5150","2895","1173","1296","1.83000000","1973","1130000.00","872300.00"
"R0201812","9610405012","2021-07-01","6605 THOMPSON DR","FORT COLLINS","80526","0194","MOUNTAIN VALLEY ACRES","","Farm Implement-Equip Shop","Farm Implement-Equip Shop","476","1260","","","","1.83000000","2005","1130000.00","872300.00"
"R0220876","9704406038","2021-07-01","716 N MONTVIEW RD","FORT COLLINS","80521","02780","SHIRLEY HEIGHTS  1ST","19829","Single Family Residential","Ranch","1","1056","","","",".18000000","1971","347500.00","309100.00"
"R1429647","8729416029","2021-07-01","3413 PEARSTONE PL","FORT COLLINS","80525","17563","STONE RIDGE PUD","18729","Single Family Residential","2 Story","8","2686","1217","1217","770",".21000000","2000","746900.00","581600.00"
"R0763098","9735412013","2021-07-01","430 GUILLEMONT ST","FORT COLLINS","80526","1319","LARKBOROUGH","19734","Single Family Residential","Split Level","7","1320","","","360",".15000000","1980","397000.00","328800.00"
"R1017985","9727109051","2021-07-01","2743 CANTERBURY DR","FORT COLLINS","80526","1369","KENSINGTON SOUTH, THE SQUARE AT","19722","Single Family Residential","2 Story","8","2056","","","440",".14000000","1984","497500.00","392700.00"
"R1145339","9736320009","2021-07-01","4255 WESTSHORE WAY C9","FORT COLLINS","80525","14353","HARMONY COVE CONDO","19601","Townhouse/Condo","Townhouse Two Story","68","1088","544","","264",".00000000","1982","360000.00","256100.00"
"R0689319","9726313016","2021-07-01","3555 TRADITION DR","FORT COLLINS","80526","105401","FOOTHILLS PARK","19722","Single Family Residential","Split Level","7","1496","","","440",".14000000","1983","453500.00","343200.00"
"R1053345","9724422015","2021-06-30","925 COLUMBIA RD 733","FORT COLLINS","80525","13063","MISSION HILLS CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","938","","","",".00000000","1979","245000.00","210500.00"
"R1147013","9727129001","2021-06-30","2828 SILVERPLUME DR R1","FORT COLLINS","80526","14085","SILVERPLUME CONDO","19722","Townhouse/Condo","Townhouse Two Story","68","952","476","476","264",".00000000","1981","340000.00","267300.00"
"R1130927","9612208102","2021-06-30","5919 BOYNE CT","FORT COLLINS","80525","1431","HUNTINGTON HILLS PUD","19613","Single Family Residential","Split Level","7","1332","","","660",".33000000","1985","425000.00","337100.00"
"R0762822","9735414011","2021-06-30","500 GOLDENEYE DR","FORT COLLINS","80526","1319","LARKBOROUGH","19734","Single Family Residential","Ranch","1","1028","","","364",".21000000","1981","405000.00","332300.00"
"R1266128","8606331007","2021-06-30","1125 WHITE OAK CT","FORT COLLINS","80525","15663","OAKRIDGE VILLAGE PUD","19613","Single Family Residential","2 Story","8","2196","896","352","528",".17000000","1988","583100.00","481600.00"
"R1106813","9715132222","2021-06-30","710 CITY PARK AVE B222","FORT COLLINS","80521","13991","BAYSTONE CONDOS","19715","Condo unit","Condo &lt;= 3 Stories","19","966","","","",".00000000","1980","215000.00","210500.00"
"R1326449","8607216004","2021-06-30","1430 HIWAN CT","FORT COLLINS","80525","1712","CENTER GREENS AT SOUTHRIDGE GREENS PUD","19613","Single Family Residential","Ranch","1","2290","2282","1166","706",".22000000","2000","815000.00","694800.00"
"R1188640","8719230072","2021-06-30","2059 STONEY HILL CT","FORT COLLINS","80525","14112","VINEYARD AT STONEHENGE PUD  2","19724","Patio Home Single Family Residential","2 Story","8","1490","1286","1286","462",".08000000","1992","495000.00","470900.00"
"R1439090","9602218041","2021-06-30","700 MCGRAW DR","FORT COLLINS","80526","1839","COVENTRY","19601","Single Family Residential","Split Level","7","2884","947","947","680",".24000000","1996","699900.00","535300.00"
"R1439430","9602115072","2021-06-30","501 BENTLEY PL","FORT COLLINS","80526","1839","COVENTRY","19601","Single Family Residential","2 Story","8","2262","1506","","630",".25000000","1996","615000.00","500300.00"
"R1398865","8706160037","2021-06-30","1929 SOUTH VIEW DR","FORT COLLINS","80524","099516","ADRIEL HILLS OVERALL","19836","Condo - Separate Unit","2 Story","8","1967","1368","","432",".00000000","1994","549000.00","420500.00"
"R1593249","9615107137","2021-06-30","1309 REEVES DR","FORT COLLINS","80526","800001","REGISTRY RIDGE PUD 1ST CORRECTED PLAT OF FINAL PLAT (2000038232)","19614","Single Family Residential","Ranch","1","2028","1996","168","400",".15000000","2005","560000.00","446800.00"
"R1586682","8704405073","2021-06-30","820 GLENWALL DR","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","Ranch","1","1330","","","400",".10000000","2000","385000.00","307600.00"
"R1591652","9717407058","2021-06-30","3520 CONEFLOWER DR","FORT COLLINS","80521","18872","THE PONDS AT OVERLAND TRAIL 2ND","19722","Single Family Residential","2 Story","8","2964","1180","","700",".17000000","2003","715000.00","608000.00"
"R1471635","8607123142","2021-06-30","5719 WHITE WILLOW DR","FORT COLLINS","80528","1855","WILLOW SPRINGS PUD","19613","Single Family Residential","2 Story","8","2820","997","","528",".25000000","1996","790000.00","554900.00"
"R1488848","8605115042","2021-06-30","2602 TIMBERWOOD DR 42","FORT COLLINS","80528","1866","WILDWOOD TOWNHOMES PUD","18729","Townhouse","Townhouse Two Story","68","1132","594","","200",".03000000","1996","280000.00","284200.00"
"R0229814","9612309016","2021-06-30","6533 LYNN DR","FORT COLLINS","80525","0299","LYNN ACRES","19613","Single Family Residential","2 Story","8","1716","1040","","624","1.24000000","1975","645000.00","442800.00"
"R0217085","9825313072","2021-06-30","2912 SHORE RD","FORT COLLINS","80524","02262","TERRY SHORES","19836","Single Family Residential","Ranch","1","2032","1792","1552","825",".55000000","1975","815000.00","645200.00"
"R0091260","9716122002","2021-06-30","625 GALLUP RD","FORT COLLINS","80521","10662","GREENFIELD MANOR","19715","Single Family Residential","Split Level","7","1292","","","432",".22000000","1980","452000.00","344000.00"
"R0062006","9713335006","2021-06-30","1526 WHEDBEE ST","FORT COLLINS","80524","11313","MOORE`S L C","19711","Single Family Residential","Ranch","1","2310","677","677","1188",".22000000","1950","780000.00","703500.00"
"R0148075","9709308044","2021-06-30","316 ARLENE DR","FORT COLLINS","80521","0254","COFFEE PARK","19715","Purged Manufactured Home","Modular","21","920","","","720",".24000000","1978","365000.00","261200.00"
"R0123366","9725107157","2021-06-30","749 OXFORD LN","FORT COLLINS","80525","11763","SOUTHMOOR VILLAGE","19724","Single Family Residential","Ranch","1","1306","1066","1066","440",".21000000","1973","482000.00","391900.00"
"R0138576","9726418012","2021-06-30","412 CARDINAL CT","FORT COLLINS","80526","11753","SOUTH MEADOWLARK HEIGHTS","19722","Single Family Residential","Split Level","7","1580","456","","456",".25000000","1974","390000.00","357000.00"
"R0013056","9710101022","2021-06-30","511 N SHIELDS ST","FORT COLLINS","80521","/100769","S10 T07 R69","19715","Single Family Residential","Ranch","1","1073","","","264",".15000000","1953","399999.00","350100.00"
"R0750123","9709311007","2021-06-30","2910 W OLIVE ST","FORT COLLINS","80521","0986","ARAPAHOE PINES CONDOS","19715","Townhouse/Condo","Townhouse One Story","61","784","","","",".00000000","1976","239900.00","199100.00"
"R0741175","9606209014","2021-06-30","5005 W BAY DR","FORT COLLINS","80526","0382","INLET KNOLLS","19829","Single Family Residential","2 Story","8","1396","852","789","420",".36000000","1978","542000.00","420200.00"
"R0332216","8733400007","2021-06-30","3857 MARIAH LN","FORT COLLINS","80525","/330768","S33 T07 R68","18729","Single Family Residential","Ranch","1","1568","","","462",".50000000","2018","635000.00","439100.00"
"R1652438","8604443003","2021-06-30","5120 SOUTHERN CROSS LN C","FORT COLLINS","80528","8103026000","TRIPLE CROWN HOMES AT OBSERVATORY VILLAGE","18729","Townhouse/Condo","Townhouse One Story","61","1115","","","604",".00000000","2012","354000.00","334100.00"
"R1622816","9601492024","2021-06-30","5220 BOARDWALK DR D34","FORT COLLINS","80525","803101","LODGE AT MIRAMONT CONDOMINIUMS, THE (2003003142)","19601","Condo unit","Condo &lt;= 3 Stories","19","899","","","276",".00000000","2003","295000.00","260500.00"
"R1608351","8609223018","2021-06-30","3339 LEDGESTONE CT","FORT COLLINS","80528","06372","FOSSIL LAKE PUD, SECOND FILING","19613","Patio Home Single Family Residential","Ranch","1","1401","1401","1051","638",".14000000","2004","625000.00","512000.00"
"R1612209","8715110058","2021-06-30","4687 SHETLAND LN","FORT COLLINS","80524","0684","CLYDESDALE PARK PUD, FIRST FILING","18933","Single Family Residential","Ranch","1","1617","1610","1415","724",".20000000","2002","550000.00","505700.00"
"R1605685","8830414286","2021-06-30","1808 RICHARDS LAKE RD","FORT COLLINS","80524","16551","RICHARDS LAKE PUD FILING ONE","18933","Single Family Residential","Ranch","1","2262","1416","252","528",".37000000","2007","705000.00","480600.00"
"R1586999","8704405275","2021-06-30","3862 GARDENWALL CT","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","2 Story","8","1683","","","420",".10000000","2001","426500.00","333900.00"
"R1600425","9614419393","2021-06-30","7308 AVONDALE RD","FORT COLLINS","80525","18513","RIDGEWOOD HILLS PUD, THIRD FILING","19614","Single Family Residential","2 Story","8","2283","790","","580",".15000000","2001","510000.00","441600.00"
"R1656759","8608421002","2021-06-30","6181 SPEARMINT CT","FORT COLLINS","80528","0898001000","KECHTER FARM PLD FIL 1","18729","Single Family Residential","2 Story","8","2990","","","546",".14000000","2017","605000.00","554700.00"
"R1606889","9613127260","2021-06-29","715 HEATHER GLEN LN","FORT COLLINS","80525","18382","PROVINCETOWNE SUBDIVISION FILING NO 2 PUD","19613","Single Family Residential","2 Story","8","3657","1826","1358","646",".27000000","2005","800000.00","607200.00"
"R1607803","8608323003","2021-06-29","6227 WESTCHASE RD","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","2 Story","8","2664","1388","992","660",".26000000","2003","680000.00","626600.00"
"R1607751","8608321010","2021-06-29","6409 GARRISON CT","FORT COLLINS","80528","0679","WESTCHASE PUD","18729","Single Family Residential","2 Story","8","3164","972","850","786",".25000000","2003","703000.00","639100.00"
"R1628508","8832232009","2021-06-29","2263 FORECASTLE DR","FORT COLLINS","80524","8098","MAPLE HILL, FTC (20040004921)","18933","Single Family Residential","Ranch","1","1224","1224","","400",".13000000","2006","415000.00","339500.00"
"R1633901","8715115063","2021-06-29","815 SAN PEDRO DR","FORT COLLINS","80524","0772","VISTA GRANDE PD (20050021649)","18933","Single Family Residential","2 Story","8","2326","1358","1358","580",".23000000","2007","735000.00","632800.00"
"R1634711","8715209139","2021-06-29","4456 ESPIRIT DR","FORT COLLINS","80524","/150768","S15 T07 R68","18933","Single Family Residential","Modular","21","1556","","","400",".00000000","2004","218000.00","89300.00"
"R1642413","9613239009","2021-06-29","421 SAN JUAN DR","FORT COLLINS","80525","18383","PROVINCETOWNE FILING 3, FTC (20060088535)","19613","Single Family Residential","Ranch","1","1818","1679","280","722",".17000000","2012","650000.00","524400.00"
"R0750344","9709311020","2021-06-29","3007 W OLIVE ST","FORT COLLINS","80521","0986","ARAPAHOE PINES CONDOS","19715","Townhouse/Condo","Townhouse One Story","61","784","","","",".00000000","1976","250000.00","199100.00"
"R0115746","9724312010","2021-06-29","504 COLUMBIA RD","FORT COLLINS","80525","11747","SOUTH COLLEGE HEIGHTS","19724","Single Family Residential","Ranch","1","1204","1204","803","308",".21000000","1961","455000.00","392100.00"
"R0018350","9710119016","2021-06-29","224 N ROOSEVELT AVE","FORT COLLINS","80521","11122","MARTIN","19715","Duplex -over-under","Duplex One Story","51","1120","1120","1120","",".15000000","1966","700000.00","392100.00"
"R1569180","8732149001","2021-06-29","2702 STONEHAVEN DR","FORT COLLINS","80525","19132","ENGLISH RANCH SOUTH PUD","18729","Single Family Residential","2 Story","8","2048","925","650","839",".19000000","1999","593500.00","491000.00"
"R1585815","8606407200","2021-06-29","5225 WHITE WILLOW DR M200","FORT COLLINS","80528","19448","BROOKSIDE AT WILLOW SPRINGS CONDOS","19613","Condo unit","Condo &lt;= 3 Stories","19","994","","","200",".00000000","1999","321000.00","257600.00"
"R1505955","9726395002","2021-06-29","3440 WINDMILL DR 6-2","FORT COLLINS","80526","18951","SUN DISK VILLAGE CONDOS","19722","Townhouse/Condo","Townhouse Two Story","68","1300","560","560","252",".00000000","1996","355000.00","321500.00"
"R1423711","8614411011","2021-06-29","7306 VARDON WAY","FORT COLLINS","80528","04553","PTARMIGAN","28623","Single Family Residential","Ranch","1","2146","2146","1450","600",".23000000","1998","675000.00","543900.00"
"R0669245","8717116114","2021-06-28","2711 CHERLY ST","FORT COLLINS","80524","03982","COUNTRYSIDE PARK","18933","Single Family Residential","2 Story","8","1092","","","312",".11000000","1977","394000.00","304800.00"
"R1099876","8730338007","2021-06-28","3500 ROLLING GREEN DR B10","FORT COLLINS","80525","13765","COLLINDALE  PUD CONDOS","19724","Condo unit","Condo &lt;= 3 Stories","19","896","","","288",".00000000","1980","300000.00","231100.00"
"R0017329","9710113018","2021-06-28","1201 JUNIPER CT","FORT COLLINS","80521","1134","MOUNTAIN VIEW","19715","Single Family Residential","2 Story","8","2556","1168","","320",".18000000","1998","1125000.00","571300.00"
"R0115401","9724310003","2021-06-28","2305 PURDUE RD","FORT COLLINS","80525","11746","SOUTH COLLEGE HEIGHTS","19724","Single Family Residential","Ranch","1","1260","1260","1260","564",".20000000","1960","500000.00","454500.00"
"R0130982","9725408054","2021-06-28","919 BOLTZ DR","FORT COLLINS","80525","117641","SOUTHMOOR VILLAGE","19724","Single Family Residential","Ranch","1","1258","","","488",".19000000","1974","435000.00","337300.00"
"R0173541","9721107040","2021-06-28","2143 ROMNEY AVE","FORT COLLINS","80526","10131","BROWN FARM","19722","Single Family Residential","Bi Level 2 Story","4","1526","","","504",".18000000","1975","440000.00","338200.00"
"R0173541","9721107040","2021-06-28","2143 ROMNEY AVE","FORT COLLINS","80526","10131","BROWN FARM","","Farm Utility Building","Farm Utility Building","404","240","","","",".18000000","2010","440000.00","338200.00"
"R0740276","8730312023","2021-06-28","1101 OAKMONT CT","FORT COLLINS","80525","1285","COLLINDALE  PUD","19724","Single Family Residential","Split Level","7","2412","702","","572",".34000000","1980","615000.00","464500.00"
"R0641600","8730208011","2021-06-28","2949 BROOKWOOD DR","FORT COLLINS","80525","1249","SILVERWOOD VILLAGE","19724","Single Family Residential","Ranch","1","1259","1259","1259","399",".17000000","1977","565000.00","398700.00"
"R1623143","8823205040","2021-06-28","4219 TALIESIN WAY","FORT COLLINS","80524","0707","THE HILL CONSERVATION DEVELOPMENT","18933","Single Family Residential","Ranch","1","3648","2896","2606","1305","2.00000000","2005","2198000.00","1605400.00"
"R1656827","8608425004","2021-06-25","2820 SUNSET VIEW DR","FORT COLLINS","80528","0898001000","KECHTER FARM PLD FIL 1","18729","Single Family Residential","2 Story","8","4744","2360","","700",".31000000","2017","1185000.00","1035900.00"
"R1587064","8704105337","2021-06-25","3820 CELTIC LN","FORT COLLINS","80524","1971","WATERGLEN PUD","18933","Single Family Residential","2 Story","8","1706","","","400",".10000000","2002","427000.00","336700.00"
"R1634145","8604423002","2021-06-25","3821 SKY GAZER LN B","FORT COLLINS","80528","81039","TRIPLE CROWN HOMES AT OBSERVATORY VILLAGE ASSOC INC CONDO MAP 10 FTC (20050030137)","18729","Townhouse/Condo","Townhouse Two Story","68","1452","728","","420",".00000000","2004","400000.00","349100.00"
"R0665410","8730112001","2021-06-25","2601 PARKLAKE CT 1","FORT COLLINS","80525","1255","PARKLAKE COURT CONDO","19724","Townhouse/Condo","Townhouse One Story","61","780","","","210",".00000000","1973","229900.00","209300.00"
"R0645460","9725412185","2021-06-25","624 SYDNEY DR","FORT COLLINS","80525","12122","VILLAGE EAST","19724","Single Family Residential","Split Level","7","1216","480","480","444",".19000000","1977","400000.00","373800.00"
"R0651516","9726227095","2021-06-25","2913 WORTHINGTON AVE","FORT COLLINS","80526","12306","WOODWEST","19722","Single Family Residential","Ranch","1","1308","","","400",".19000000","1978","365000.00","344100.00"
"R0113123","9724307014","2021-06-25","2220 PURDUE RD","FORT COLLINS","80525","11746","SOUTH COLLEGE HEIGHTS","19724","Single Family Residential","Ranch","1","875","875","875","275",".18000000","1960","470000.00","375800.00"
"R0224359","9709207045","2021-06-25","2802 LAPORTE AVE","FORT COLLINS","80521","00832","ROSTEK","19715","Single Family Residential","Split Level","7","2002","","","",".24000000","1965","480000.00","394200.00"
"R0007277","8719309159","2021-06-25","1105 KIRKWOOD DR","FORT COLLINS","80525","11435","PARKWOOD","19724","Duplex -side by side","Duplex One Story","51","2032","","","725",".21000000","1972","607220.00","527500.00"
"R0121614","9725105023","2021-06-25","2848 STOVER ST","FORT COLLINS","80525","11761","SOUTHMOOR VILLAGE","19724","Single Family Residential","Ranch","1","1008","1008","504","480",".24000000","1973","390000.00","362400.00"
"R0118338","9724329012","2021-06-25","532 VILLANOVA CT","FORT COLLINS","80525","11747","SOUTH COLLEGE HEIGHTS","19724","Single Family Residential","Ranch","1","1026","1026","476","297",".21000000","1962","385000.00","364800.00"
"R1391950","8607316021","2021-06-25","1207 CANVASBACK CT","FORT COLLINS","80525","17404","PARAGON POINT PUD","19613","Single Family Residential","2 Story","8","2172","1202","1102","462",".12000000","1996","621000.00","501700.00"
"R1299328","8731327048","2021-06-25","4410 MONTE CARLO PL","FORT COLLINS","80525","1344501","GOLDEN MEADOWS","19601","Single Family Residential","2 Story","8","1940","945","945","441",".17000000","1990","515000.00","455600.00"
"R1312880","8732305041","2021-06-25","4220 STONERIDGE DR","FORT COLLINS","80525","16165","SUNSTONE VILLAGE PUD","18729","Single Family Residential","2 Story","8","1496","432","","440",".12000000","1990","470000.00","377500.00"
"R1149245","8719224037","2021-06-25","1980 WELCH ST 37","FORT COLLINS","80525","1411","VINEYARD AT STONEHENGE PUD  1","19724","Patio Home Single Family Residential","Ranch","1","1362","900","420","",".08000000","1984","460000.00","369700.00"
"R0680907","9727106059","2021-06-25","2631 DUNBAR AVE","FORT COLLINS","80526","1259","KENSINGTON SOUTH","19722","Single Family Residential","Bi Level 2 Story","4","1710","","","476",".15000000","1978","415000.00","333900.00"
"R1150804","9701234002","2021-06-24","304 BUTCH CASSIDY DR","FORT COLLINS","80524","12902","SUNDANCE HILLS TWO CONDO","19836","Townhouse/Condo","Townhouse Two Story","68","1296","","","441",".00000000","1982","245000.00","235300.00"
"R1153307","9710314001","2021-06-24","1700 W MOUNTAIN AVE 1","FORT COLLINS","80521","1480","MOUNTAIN COURT PUD","19715","Townhouse","Townhouse One Story","61","1161","","","280",".05000000","1983","427000.00","278700.00"
"R1089811","9725318011","2021-06-24","3400 STANFORD RD A120","FORT COLLINS","80525","1400","WINDMILL CONDO","19724","Condo unit","Condo &lt;= 3 Stories","19","731","","","",".00000000","1978","225000.00","177800.00"
"R1590941","9711163029","2021-06-24","520 N SHERWOOD ST 29","FORT COLLINS","80521","19901","RIVER ROCK COMMON CONDOS, PH 2, FTC ","19711","Townhouse/Condo","Townhouse Two Story","68","1055","","","200",".00000000","1999","385000.00","350500.00"
"R1570633","8732149117","2021-06-24","2633 SUNSTONE DR","FORT COLLINS","80525","19132","ENGLISH RANCH SOUTH PUD","18729","Single Family Residential","Ranch","1","1477","1481","1481","576",".14000000","2000","510000.00","444900.00"
"R0197599","8831409052","2021-06-24","1833 GRENOBLE CT","FORT COLLINS","80524","01893","NEDRAH ACRES","19836","Single Family Residential","Ranch","1","1688","960","960","528",".28000000","1976","640000.00","553000.00"
"R0242454","0601105297","2021-06-24","4617 CLIFF VIEW LN","FORT COLLINS","80526","0212","HORSETOOTH LAKE ESTATES","19829","Single Family Residential","Ranch","1","744","672","672","",".72000000","1918","478000.00","227000.00"
